TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2003,1,17,19,0,33XX DUNBAR ST,Dunbar-Southlands,486533.6752,5456032.1725
Break and Enter Commercial,2003,8,31,23,30,33XX DUNBAR ST,Dunbar-Southlands,486533.6829,5456034.0089
Break and Enter Commercial,2015,6,1,0,5,33XX DUNBAR ST,Dunbar-Southlands,486533.6831,5456033.9692
Break and Enter Commercial,2006,12,4,4,1,33XX DUNBAR ST,Dunbar-Southlands,486533.7303,5456044.7491
Break and Enter Commercial,2004,1,19,4,37,33XX DUNBAR ST,Dunbar-Southlands,486533.7855,5456057.3258
Break and Enter Commercial,2012,4,21,2,40,33XX DUNBAR ST,Dunbar-Southlands,486533.7855,5456057.3258
Break and Enter Commercial,2022,12,30,3,30,33XX DUNBAR ST,Dunbar-Southlands,486533.7899,5456058.4036
Break and Enter Commercial,2022,5,26,12,38,33XX W 31ST AVE,Dunbar-Southlands,486952.8238,5454620.0672
Break and Enter Commercial,2020,12,11,0,0,34XX DUNBAR ST,Dunbar-Southlands,486523.7411,5455906.8025
Break and Enter Commercial,2003,5,26,21,0,34XX DUNBAR ST,Dunbar-Southlands,486523.8523,5455921.6461
Break and Enter Commercial,2003,3,19,23,29,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Break and Enter Commercial,2003,3,20,4,5,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Break and Enter Commercial,2003,3,20,22,1,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Break and Enter Commercial,2003,6,4,21,45,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Break and Enter Commercial,2017,4,24,13,34,34XX DUNBAR ST,Dunbar-Southlands,486523.9218,5455930.9234
Break and Enter Commercial,2008,1,2,10,51,34XX DUNBAR ST,Dunbar-Southlands,486532.871,5455904.8786
Break and Enter Commercial,2018,11,8,17,30,34XX DUNBAR ST,Dunbar-Southlands,486532.9336,5455913.2895
Break and Enter Commercial,2005,5,7,18,0,34XX DUNBAR ST,Dunbar-Southlands,486532.9405,5455914.1558
Break and Enter Commercial,2004,8,19,1,25,34XX DUNBAR ST,Dunbar-Southlands,486533.2879,5455960.5421
Break and Enter Commercial,2005,11,7,12,57,34XX DUNBAR ST,Dunbar-Southlands,486533.2879,5455960.5421
Break and Enter Commercial,2013,12,19,15,0,34XX W 29TH AVE,Dunbar-Southlands,486794.9023,5454841.3692
Break and Enter Commercial,2016,11,28,18,0,34XX W 30TH AVE,Dunbar-Southlands,486844.2432,5454724.5753
Break and Enter Commercial,2006,1,18,4,52,35XX W 16TH AVE,Dunbar-Southlands,486563.8638,5456130.2457
Break and Enter Commercial,2020,11,5,15,36,35XX W 16TH AVE,Dunbar-Southlands,486588.0054,5456129.5864
Break and Enter Commercial,2021,2,11,2,4,35XX W 16TH AVE,Dunbar-Southlands,486588.0054,5456129.5864
Break and Enter Commercial,2011,12,7,18,0,35XX W 17TH AVE,Dunbar-Southlands,486550.203,5456086.2983
Break and Enter Commercial,2022,12,30,10,58,35XX W 18TH AVE,Dunbar-Southlands,486539.6195,5455988.7029
Break and Enter Commercial,2009,11,27,21,0,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2011,8,6,16,0,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2013,11,8,19,0,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2013,11,12,0,0,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2014,7,4,11,30,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2021,2,10,9,28,35XX W 18TH AVE,Dunbar-Southlands,486549.7173,5455988.6551
Break and Enter Commercial,2005,1,11,17,33,35XX W 26TH AVE,Dunbar-Southlands,486537.3688,5455159.8665
Break and Enter Commercial,2012,10,28,19,0,35XX W 26TH AVE,Dunbar-Southlands,486537.3688,5455159.8665
Break and Enter Commercial,2015,3,25,9,55,35XX W 26TH AVE,Dunbar-Southlands,486537.3688,5455159.8665
Break and Enter Commercial,2020,10,22,23,0,35XX W 26TH AVE,Dunbar-Southlands,486537.3688,5455159.8665
Break and Enter Commercial,2009,5,3,17,0,35XX W 26TH AVE,Dunbar-Southlands,486542.1093,5455159.835
Break and Enter Commercial,2008,7,28,11,25,35XX W 26TH AVE,Dunbar-Southlands,486546.7889,5455150.6596
Break and Enter Commercial,2012,10,3,0,0,35XX W 26TH AVE,Dunbar-Southlands,486546.7889,5455150.6596
Break and Enter Commercial,2014,3,25,10,57,35XX W 26TH AVE,Dunbar-Southlands,486546.7889,5455150.6596
Break and Enter Commercial,2016,6,11,15,30,35XX W 26TH AVE,Dunbar-Southlands,486546.7889,5455150.6596
Break and Enter Commercial,2003,4,4,20,30,35XX W 27TH AVE,Dunbar-Southlands,486526.9293,5455045.5105
Break and Enter Commercial,2022,8,11,18,25,35XX W 28TH AVE,Dunbar-Southlands,486523.1111,5454939.9828
Break and Enter Commercial,2021,10,9,2,57,35XX W 35TH AVE,Dunbar-Southlands,486609.6207,5454208.8901
Break and Enter Commercial,2010,12,6,18,0,35XX W 40TH AVE,Dunbar-Southlands,486728.2675,5453677.9381
Break and Enter Commercial,2004,9,12,14,56,35XX W 41 AV,Dunbar-Southlands,486599.9432,5453565.9503
Break and Enter Commercial,2004,9,12,14,56,35XX W 41 AV,Dunbar-Southlands,486613.1532,5453565.8882
Break and Enter Commercial,2005,9,9,0,0,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2008,1,17,3,0,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2008,7,12,3,59,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2009,9,6,0,33,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2012,6,13,5,13,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2013,2,5,3,35,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2013,4,5,4,37,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2013,11,3,5,42,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2014,8,4,19,30,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2015,1,9,0,46,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2015,2,19,4,0,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2016,9,22,4,31,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2017,1,10,4,11,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2017,10,11,3,14,35XX W 41ST AVE,Dunbar-Southlands,486525.0864,5453566.3022
Break and Enter Commercial,2003,6,21,17,0,35XX W 41ST AVE,Dunbar-Southlands,486529.4898,5453566.2815
Break and Enter Commercial,2007,6,1,17,0,35XX W 41ST AVE,Dunbar-Southlands,486529.4898,5453566.2815
Break and Enter Commercial,2003,9,1,0,0,35XX W 41ST AVE,Dunbar-Southlands,486533.8931,5453566.2608
Break and Enter Commercial,2007,6,2,0,10,35XX W 41ST AVE,Dunbar-Southlands,486533.8931,5453566.2608
Break and Enter Commercial,2011,8,25,1,38,35XX W 41ST AVE,Dunbar-Southlands,486551.5064,5453566.178
Break and Enter Commercial,2004,3,20,17,30,35XX W 41ST AVE,Dunbar-Southlands,486560.3131,5453566.1366
Break and Enter Commercial,2005,2,22,9,0,35XX W 41ST AVE,Dunbar-Southlands,486560.3131,5453566.1366
Break and Enter Commercial,2014,4,22,3,0,35XX W 41ST AVE,Dunbar-Southlands,486560.3131,5453566.1366
Break and Enter Commercial,2014,9,3,12,0,35XX W 41ST AVE,Dunbar-Southlands,486560.3131,5453566.1366
Break and Enter Commercial,2005,2,12,17,0,35XX W 41ST AVE,Dunbar-Southlands,486586.7332,5453566.0124
Break and Enter Commercial,2006,5,18,0,5,35XX W 41ST AVE,Dunbar-Southlands,486586.7332,5453566.0124
Break and Enter Commercial,2011,12,14,4,25,35XX W 41ST AVE,Dunbar-Southlands,486586.7332,5453566.0124
Break and Enter Commercial,2005,11,24,19,30,35XX W 41ST AVE,Dunbar-Southlands,486599.9432,5453565.9503
Break and Enter Commercial,2004,4,27,1,15,35XX W 41ST AVE,Dunbar-Southlands,486604.3465,5453565.9296
Break and Enter Commercial,2022,2,11,8,58,35XX W 41ST AVE,Dunbar-Southlands,486607.8691,5453565.9131
Break and Enter Commercial,2020,9,9,18,30,35XX W 41ST AVE,Dunbar-Southlands,486612.4681,5453565.8915
Break and Enter Commercial,2003,3,7,6,13,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2003,3,21,6,25,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2004,11,2,19,0,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2005,10,8,0,15,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2006,1,5,3,44,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2010,1,12,5,33,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2012,1,19,21,39,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2014,4,17,5,23,35XX W 41ST AVE,Dunbar-Southlands,486617.5565,5453565.8676
Break and Enter Commercial,2003,4,21,1,33,35XX W 41ST AVE,Dunbar-Southlands,486621.9599,5453565.8469
Break and Enter Commercial,2003,6,19,21,0,35XX W 41ST AVE,Dunbar-Southlands,486621.9599,5453565.8469
Break and Enter Commercial,2012,11,5,3,7,35XX W 41ST AVE,Dunbar-Southlands,486621.9599,5453565.8469
Break and Enter Commercial,2013,3,17,19,0,35XX W 41ST AVE,Dunbar-Southlands,486621.9599,5453565.8469
Break and Enter Commercial,2004,8,8,18,30,35XX W 41ST AVE,Dunbar-Southlands,486630.7665,5453565.8055
Break and Enter Commercial,2008,2,26,20,0,35XX W 41ST AVE,Dunbar-Southlands,486630.7665,5453565.8055
Break and Enter Commercial,2003,3,7,6,0,35XX W 41ST AVE,Dunbar-Southlands,486648.3799,5453565.7227
Break and Enter Commercial,2004,11,2,18,0,35XX W 41ST AVE,Dunbar-Southlands,486648.3799,5453565.7227
Break and Enter Commercial,2008,2,17,20,30,35XX W 41ST AVE,Dunbar-Southlands,486648.3799,5453565.7227
Break and Enter Commercial,2020,8,11,5,40,35XX W 41ST AVE,Dunbar-Southlands,486648.3799,5453565.7227
Break and Enter Commercial,2022,3,12,3,55,35XX W 41ST AVE,Dunbar-Southlands,486649.2604,5453565.7186
Break and Enter Commercial,2003,6,27,4,20,35XX W 41ST AVE,Dunbar-Southlands,486658.4585,5453565.6754
Break and Enter Commercial,2007,2,27,22,30,35XX W 41ST AVE,Dunbar-Southlands,486661.6329,5453574.8045
Break and Enter Commercial,2014,7,27,3,40,35XX W 41ST AVE,Dunbar-Southlands,486661.6329,5453574.8045
Break and Enter Commercial,2006,5,28,23,3,35XX W 41ST AVE,Dunbar-Southlands,486679.2033,5453565.5778
Break and Enter Commercial,2006,12,3,17,0,35XX W 41ST AVE,Dunbar-Southlands,486688.0099,5453565.5364
Break and Enter Commercial,2003,11,23,4,21,35XX W 41ST AVE,Dunbar-Southlands,486696.8166,5453565.495
Break and Enter Commercial,2007,3,17,8,0,35XX W 41ST AVE,Dunbar-Southlands,486696.8166,5453565.495
Break and Enter Commercial,2007,12,29,18,30,35XX W 41ST AVE,Dunbar-Southlands,486696.8166,5453565.495
Break and Enter Commercial,2010,1,26,0,59,35XX W 41ST AVE,Dunbar-Southlands,486696.8166,5453565.495
Break and Enter Commercial,2017,4,7,23,52,35XX W 41ST AVE,Dunbar-Southlands,486696.8166,5453565.495
Break and Enter Commercial,2005,1,17,2,15,35XX W 41ST AVE,Dunbar-Southlands,486710.0266,5453565.4329
Break and Enter Commercial,2008,3,11,6,9,35XX W 41ST AVE,Dunbar-Southlands,486714.43,5453565.4122
Break and Enter Commercial,2003,8,1,19,30,35XX W 41ST AVE,Dunbar-Southlands,486732.0433,5453565.3294
Break and Enter Commercial,2008,3,11,6,42,35XX W 41ST AVE,Dunbar-Southlands,486732.0433,5453565.3294
Break and Enter Commercial,2010,3,17,3,15,35XX W 41ST AVE,Dunbar-Southlands,486732.0433,5453565.3294
Break and Enter Commercial,2003,6,23,4,15,35XX W 41ST AVE,Dunbar-Southlands,486736.4467,5453565.3087
Break and Enter Commercial,2003,8,1,21,0,35XX W 41ST AVE,Dunbar-Southlands,486736.4467,5453565.3087
Break and Enter Commercial,2004,8,8,6,20,35XX W 41ST AVE,Dunbar-Southlands,486736.4467,5453565.3087
Break and Enter Commercial,2008,3,11,6,58,35XX W 41ST AVE,Dunbar-Southlands,486736.4467,5453565.3087
Break and Enter Commercial,2023,1,30,4,0,35XX W 41ST AVE,Dunbar-Southlands,486741.241,5453565.2863
Break and Enter Commercial,2011,6,10,21,0,36XX QUESNEL DR,Dunbar-Southlands,487143.5735,5455767.2871
Break and Enter Commercial,2014,11,16,7,16,36XX W 16TH AVE,Dunbar-Southlands,486448.6623,5456133.1325
Break and Enter Commercial,2004,11,1,20,4,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2005,4,1,9,0,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2007,4,20,9,20,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2008,4,24,0,30,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2009,1,11,18,0,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2009,9,7,21,0,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2012,2,7,23,30,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2013,11,6,22,0,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2013,12,15,23,0,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2014,11,30,2,33,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2018,2,2,16,15,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2022,4,10,2,15,36XX W 17TH AVE,Dunbar-Southlands,486484.6824,5456087.6927
Break and Enter Commercial,2004,10,10,0,0,36XX W 17TH AVE,Dunbar-Southlands,486505.6309,5456087.1674
Break and Enter Commercial,2015,9,2,20,0,36XX W 17TH AVE,Dunbar-Southlands,486505.6309,5456087.1674
Break and Enter Commercial,2003,8,4,18,0,36XX W 19TH AVE,Dunbar-Southlands,486504.2553,5455887.8127
Break and Enter Commercial,2012,5,11,6,53,36XX W 28TH AVE,Dunbar-Southlands,486485.3024,5454940.2838
Break and Enter Commercial,2020,5,25,22,30,36XX W 28TH AVE,Dunbar-Southlands,486485.3024,5454940.2838
Break and Enter Commercial,2008,7,5,7,42,36XX W 28TH AVE,Dunbar-Southlands,486486.3205,5454940.2758
Break and Enter Commercial,2019,12,6,16,24,36XX W 28TH AVE,Dunbar-Southlands,486486.3205,5454940.2758
Break and Enter Commercial,2022,1,11,3,20,36XX W 29TH AVE,Dunbar-Southlands,486489.5134,5454842.697
Break and Enter Commercial,2010,12,25,22,30,36XX W 39TH AVE,Dunbar-Southlands,486507.8109,5453761.3101
Break and Enter Commercial,2008,3,24,21,0,37XX W 28TH AVE,Dunbar-Southlands,486331.5537,5454941.4725
Break and Enter Commercial,2014,1,16,14,0,37XX W 28TH AVE,Dunbar-Southlands,486331.5537,5454941.4725
Break and Enter Commercial,2016,1,14,18,0,37XX W 28TH AVE,Dunbar-Southlands,486331.5537,5454941.4725
Break and Enter Commercial,2016,3,20,15,30,37XX W 28TH AVE,Dunbar-Southlands,486331.5537,5454941.4725
Break and Enter Commercial,2013,6,18,21,59,37XX W 28TH AVE,Dunbar-Southlands,486333.3908,5454941.4592
Break and Enter Commercial,2003,2,22,23,0,38XX W 16TH AVE,Dunbar-Southlands,486179.8298,5456140.4421
Break and Enter Commercial,2011,6,15,16,0,38XX W 38TH AVE,Dunbar-Southlands,486121.193,5453891.6467
Break and Enter Commercial,2022,5,26,6,22,39XX W 21ST AVE,Dunbar-Southlands,485922.5317,5455683.5217
Break and Enter Commercial,2009,11,4,16,0,39XX W 27TH AVE,Dunbar-Southlands,485950.9442,5455050.6902
Break and Enter Commercial,2022,8,11,16,17,39XX W 30TH AVE,Dunbar-Southlands,486076.6475,5454732.1489
Break and Enter Commercial,2015,3,2,5,45,39XX W 39TH AVE,Dunbar-Southlands,486084.0494,5453753.1197
Break and Enter Commercial,2022,5,31,9,44,40XX W 28TH AVE,Dunbar-Southlands,485766.0652,5454955.5829
Break and Enter Commercial,2021,4,12,20,0,40XX W 30TH AVE,Dunbar-Southlands,485885.4869,5454733.8154
Break and Enter Commercial,2015,4,26,4,9,40XX W 31ST AVE,Dunbar-Southlands,485735.7306,5454629.0364
Break and Enter Commercial,2008,12,3,18,0,40XX W 33RD AVE,Dunbar-Southlands,485891.8328,5454428.1528
Break and Enter Commercial,2012,4,5,16,30,40XX W 37TH AVE,Dunbar-Southlands,485802.4317,5454006.7516
Break and Enter Commercial,2012,2,29,0,0,40XX W 40TH AVE,Dunbar-Southlands,485832.4555,5453663.5127
Break and Enter Commercial,2006,2,16,5,32,41XX DUNBAR ST,Dunbar-Southlands,486526.1428,5455160.6816
Break and Enter Commercial,2006,2,9,7,21,41XX DUNBAR ST,Dunbar-Southlands,486526.1554,5455162.6326
Break and Enter Commercial,2003,3,21,18,30,41XX DUNBAR ST,Dunbar-Southlands,486526.2055,5455170.4366
Break and Enter Commercial,2007,7,29,4,59,41XX DUNBAR ST,Dunbar-Southlands,486526.218,5455172.3876
Break and Enter Commercial,2005,6,28,2,0,41XX DUNBAR ST,Dunbar-Southlands,486526.3308,5455189.9468
Break and Enter Commercial,2010,10,17,5,1,41XX DUNBAR ST,Dunbar-Southlands,486526.3308,5455189.9468
Break and Enter Commercial,2011,10,14,0,28,41XX W 16TH AVE,Dunbar-Southlands,485637.873,5456156.1508
Break and Enter Commercial,2016,5,8,23,45,41XX W 29TH AVE,Dunbar-Southlands,485437.6433,5454925.9748
Break and Enter Commercial,2003,3,15,17,0,42XX DUNBAR ST,Dunbar-Southlands,486514.7433,5455059.384
Break and Enter Commercial,2004,2,18,18,0,42XX DUNBAR ST,Dunbar-Southlands,486515.1903,5455078.7157
Break and Enter Commercial,2012,3,24,1,0,42XX DUNBAR ST,Dunbar-Southlands,486515.4138,5455088.3815
Break and Enter Commercial,2013,4,18,16,0,42XX DUNBAR ST,Dunbar-Southlands,486515.6373,5455098.0474
Break and Enter Commercial,2006,9,1,5,20,42XX DUNBAR ST,Dunbar-Southlands,486516.2185,5455123.1786
Break and Enter Commercial,2006,4,2,5,14,42XX DUNBAR ST,Dunbar-Southlands,486516.442,5455132.8445
Break and Enter Commercial,2006,8,13,4,0,42XX DUNBAR ST,Dunbar-Southlands,486516.442,5455132.8445
Break and Enter Commercial,2009,8,27,3,15,42XX DUNBAR ST,Dunbar-Southlands,486516.442,5455132.8445
Break and Enter Commercial,2022,1,17,4,37,42XX DUNBAR ST,Dunbar-Southlands,486516.8332,5455149.7588
Break and Enter Commercial,2003,3,21,17,30,42XX DUNBAR ST,Dunbar-Southlands,486523.7955,5455055.3062
Break and Enter Commercial,2007,1,31,6,41,42XX DUNBAR ST,Dunbar-Southlands,486523.8512,5455057.7292
Break and Enter Commercial,2004,4,9,5,3,42XX DUNBAR ST,Dunbar-Southlands,486523.9296,5455061.1058
Break and Enter Commercial,2006,10,16,18,0,42XX DUNBAR ST,Dunbar-Southlands,486523.9296,5455061.1058
Break and Enter Commercial,2007,2,19,3,35,42XX DUNBAR ST,Dunbar-Southlands,486523.9296,5455061.1058
Break and Enter Commercial,2007,4,9,7,15,42XX DUNBAR ST,Dunbar-Southlands,486523.9296,5455061.1058
Break and Enter Commercial,2012,6,12,4,20,42XX DUNBAR ST,Dunbar-Southlands,486523.9296,5455061.1058
Break and Enter Commercial,2006,7,17,22,0,42XX DUNBAR ST,Dunbar-Southlands,486523.9448,5455061.7765
Break and Enter Commercial,2005,9,9,3,25,42XX DUNBAR ST,Dunbar-Southlands,486523.9743,5455063.0389
Break and Enter Commercial,2004,4,9,5,0,42XX DUNBAR ST,Dunbar-Southlands,486524.019,5455064.9721
Break and Enter Commercial,2005,9,8,19,30,42XX DUNBAR ST,Dunbar-Southlands,486524.019,5455064.9721
Break and Enter Commercial,2006,7,15,21,16,42XX DUNBAR ST,Dunbar-Southlands,486524.019,5455064.9721
Break and Enter Commercial,2007,5,31,23,45,42XX DUNBAR ST,Dunbar-Southlands,486524.019,5455064.9721
Break and Enter Commercial,2008,7,14,4,0,42XX DUNBAR ST,Dunbar-Southlands,486524.019,5455064.9721
Break and Enter Commercial,2003,10,24,17,0,42XX DUNBAR ST,Dunbar-Southlands,486524.7342,5455095.9028
Break and Enter Commercial,2004,4,8,16,30,42XX DUNBAR ST,Dunbar-Southlands,486524.7342,5455095.9028
Break and Enter Commercial,2007,1,31,6,45,42XX DUNBAR ST,Dunbar-Southlands,486524.7342,5455095.9028
Break and Enter Commercial,2020,8,21,6,58,42XX DUNBAR ST,Dunbar-Southlands,486524.8339,5455100.2254
Break and Enter Commercial,2009,10,8,6,47,42XX DUNBAR ST,Dunbar-Southlands,486524.8683,5455101.7023
Break and Enter Commercial,2003,6,5,6,0,42XX DUNBAR ST,Dunbar-Southlands,486525.1365,5455113.3014
Break and Enter Commercial,2007,3,31,21,0,42XX DUNBAR ST,Dunbar-Southlands,486525.3154,5455121.034
Break and Enter Commercial,2013,2,27,17,0,42XX DUNBAR ST,Dunbar-Southlands,486525.5389,5455130.6999
Break and Enter Commercial,2013,5,13,21,0,43XX CAMOSUN ST,Dunbar-Southlands,485678.3519,5455066.698
Break and Enter Commercial,2006,3,19,2,40,43XX CAMOSUN ST,Dunbar-Southlands,485689.3311,5455104.5708
Break and Enter Commercial,2019,5,18,8,0,43XX CAMOSUN ST,Dunbar-Southlands,485689.3789,5455105.5638
Break and Enter Commercial,2005,7,9,3,30,43XX DUNBAR ST,Dunbar-Southlands,486512.2888,5454953.8602
Break and Enter Commercial,2005,8,29,7,25,43XX DUNBAR ST,Dunbar-Southlands,486512.2888,5454953.8602
Break and Enter Commercial,2005,9,18,6,30,43XX DUNBAR ST,Dunbar-Southlands,486512.2888,5454953.8602
Break and Enter Commercial,2003,6,23,21,0,43XX DUNBAR ST,Dunbar-Southlands,486513.1912,5454992.6338
Break and Enter Commercial,2019,12,9,10,59,43XX DUNBAR ST,Dunbar-Southlands,486513.5749,5455009.1296
Break and Enter Commercial,2020,11,23,2,6,43XX DUNBAR ST,Dunbar-Southlands,486513.9582,5455025.5914
Break and Enter Commercial,2017,2,5,7,43,43XX DUNBAR ST,Dunbar-Southlands,486514.1559,5455034.0975
Break and Enter Commercial,2019,12,11,1,45,43XX DUNBAR ST,Dunbar-Southlands,486514.1559,5455034.0975
Break and Enter Commercial,2003,10,31,16,30,43XX DUNBAR ST,Dunbar-Southlands,486522.7388,5455009.8692
Break and Enter Commercial,2003,8,9,5,11,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
Break and Enter Commercial,2003,8,12,4,44,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
Break and Enter Commercial,2003,8,15,3,24,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
Break and Enter Commercial,2003,11,9,5,30,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
Break and Enter Commercial,2003,11,13,2,16,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
Break and Enter Commercial,2006,4,1,2,44,43XX DUNBAR ST,Dunbar-Southlands,486522.9644,5455019.5626
